MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,num_stars,num_genres
Hagane no renkinjutsushi: Mirosu no seinaru hoshi,2011.0,"Animation, Action, Adventure",0.6704545454545454,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth can be found.","Director: Kazuya Murata |      Stars: Vic Mignogna,  Maxey Whitehead,  Alexis Tipton,  Matthew Mercer",0.002713331928409601,0.5677379030157828,0.0003571357711156525,4,3
Lovestruck: The Musical,2013.0,"Comedy, Fantasy, Musical",0.6022727272727273,A jaded woman who never fulfilled her dreams of a Broadway career pushes her daughter to have one. Daughter rebels and goes to Italy to get married. The mother drinks a potion that makes her young again and tries to sabotage the wedding.,"Director: Sanaa Hamri |      Stars: Jane Seymour,  Sara Paxton,  Chelsea Kane,  Drew Seeley",0.00134732575102611,0.427105578415543,0.012192218408364914,4,3
Sahara,2017.0,"Animation, Adventure, Comedy",0.5113636363636364,A young cobra and his scorpion best friend go on a journey across the Sahara desert to save a new-found love.,"Director: Pierre Coré |      Stars: Omar Sy,  Louane Emera,  Franck Gastambide,  Vincent Lacoste",0.0015084444283585219,0.44273139226001407,0.012192218408364914,4,3
Hits,2014.0,"Comedy, Drama",0.5340909090909091,A small town in upstate New York plays host to its inhabitants' delusions of grandeur.,"Director: David Cross |      Stars: Meredith Hagner,  Matt Walsh,  James Adomian,  Jake Cherry",0.0010828809654044342,0.49481743840825104,0.012192218408364914,4,2
Sora yori mo Tooi Basho,2018.0,"Animation, Adventure, Comedy",0.8181818181818182,"Mari Tamaki is in her second year of high school and wants to start something. It's then that she meets Shirase, a girl with few friends who's considered weirdo by the rest of the class and...                See full summary »","Stars: Inori Minase,  Kana Hanazawa,  Yuka Iguchi,  Saori Hayami",0.001026839686332291,0.11458930152612129,0.012192218408364914,4,3
The Brawler,2018.0,"Biography, Crime, Drama",0.4204545454545454,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.","Director: Ken Kushner |      Stars: Zach McGowan,  Amy Smart,  Joe Pantoliano,  Taryn Manning",0.0002860440285973977,0.48960883379342734,0.012192218408364914,4,3
Grizzy and the Lemmings,2007.0,"Animation, Comedy, Family",0.6704545454545454,"The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels ...                See full summary »","Stars: Pierre-Alain de Garrigues,  Josselin Charier",0.0002568558624139898,0.031251627688942164,0.012192218408364914,2,3
True and the Rainbow Kingdom,2017.0,"Animation, Short, Adventure",0.6818181818181818,Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,"Stars: Michela Luci,  Nicolas Aqui,  Jamie Watson,  Eric Peterson",0.00022766769623058187,0.10938069691129759,0.012192218408364914,4,3
El silencio del pantano,2019.0,"Action, Adventure, Crime",0.4318181818181819,A writer of crime stories discovers that reality is more criminal than the stories he writes.,"Director: Marc Vigil |      Stars: Pedro Alonso,  Nacho Fresneda,  Carmina Barrios,  José Ángel Egido",0.0020320801296888603,0.47398301994895625,0.012192218408364914,4,3
6 Balloons,2018.0,Drama,0.5454545454545455,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,"Director: Marja-Lewis Ryan |      Stars: Abbi Jacobson,  Dave Franco,  Charlotte Carel,  Madeline Carel",0.002253326429359092,0.38022813688212975,0.012192218408364914,4,1
